"DATE","TIME","C0ppb","CO_sd","Number","Other","Center"
2010-07-14,"11:00:01",69.9333333333333,3.80159050865295,60,0,2010-07-14 11:29:31
2010-07-14,"12:00:01",70.1340425531915,2.70830258053178,47,13,2010-07-14 12:36:01
2010-07-14,"13:00:01",66.7344827586207,3.0492191536631,58,2,2010-07-14 13:28:35
2010-07-14,"14:00:01",62.5727272727273,2.0688579361989,22,38,2010-07-14 14:17:28
2010-07-14,"15:00:01",0,0,0,0,2010-07-14 15:00:01
2010-07-14,"16:00:01",0,0,0,0,2010-07-14 16:00:01
2010-07-14,"17:00:01",0,0,0,0,2010-07-14 17:00:01
2010-07-14,"18:00:01",64.05,1.34350288425444,2,58,2010-07-14 18:58:31
2010-07-14,"19:00:01",69.175,4.45564296564347,60,0,2010-07-14 19:29:31
2010-07-14,"20:00:01",86.7933333333333,6.16907242180334,45,15,2010-07-14 20:36:41
2010-07-14,"21:00:01",98.5233333333333,4.52238750004519,60,0,2010-07-14 21:29:31
2010-07-14,"22:00:01",104.121666666667,3.17688108784822,60,0,2010-07-14 22:29:31
2010-07-14,"23:00:01",95.325,5.94576120199815,60,0,2010-07-14 23:29:31
2010-07-15,"00:00:01",96.4765957446808,3.60182398031871,47,13,2010-07-15 00:36:01
2010-07-15,"01:00:01",101.756666666667,5.96172443107616,60,0,2010-07-15 01:29:31
2010-07-15,"02:00:01",95.5766666666667,8.08575576725414,60,0,2010-07-15 02:29:31
2010-07-15,"03:00:01",100.383333333333,8.69531661720528,60,0,2010-07-15 03:29:31
2010-07-15,"04:00:01",124.491489361702,6.70968896406157,47,13,2010-07-15 04:36:01
2010-07-15,"05:00:01",107.101666666667,13.6735857158129,60,0,2010-07-15 05:29:31
2010-07-15,"06:00:01",83.8483333333333,6.00111548011282,60,0,2010-07-15 06:29:31
2010-07-15,"07:00:01",80.6,5.8639499563783,45,15,2010-07-15 07:36:41
2010-07-15,"08:00:01",85.5106382978723,4.28633998339889,47,13,2010-07-15 08:36:01
2010-07-15,"09:00:01",83.1016666666667,4.24481704569378,60,0,2010-07-15 09:29:31
2010-07-15,"10:00:01",87.2783333333333,3.68211857157551,60,0,2010-07-15 10:29:31
2010-07-15,"11:00:01",90.665,3.5277507598651,60,0,2010-07-15 11:29:31
2010-07-15,"12:00:01",88.8425531914894,3.78818211999939,47,13,2010-07-15 12:36:01
2010-07-15,"13:00:01",96.0283333333333,6.41476294307274,60,0,2010-07-15 13:29:31
2010-07-15,"14:00:01",99.3933333333333,3.80547627998311,60,0,2010-07-15 14:29:31
2010-07-15,"15:00:01",101.565,2.91412835472232,60,0,2010-07-15 15:29:31
2010-07-15,"16:00:01",102.659574468085,4.84914423532505,47,13,2010-07-15 16:36:01
2010-07-15,"17:00:01",98.8283333333333,3.92316422217122,60,0,2010-07-15 17:29:31
2010-07-15,"18:00:01",105.671111111111,7.420690430455,45,15,2010-07-15 18:36:41
2010-07-15,"19:00:01",111.796666666667,3.5085835022257,60,0,2010-07-15 19:29:31
2010-07-15,"20:00:01",123.159574468085,3.78410058088979,47,13,2010-07-15 20:36:01
